valor;descricao;local;bairro/cidade;quartos;garagem;banheiro;area(m2);iptu;condominio;novidade;suite;academia;varanda;transporte;salao;planejado
480000;Casa com 2 quartos na QNL 15   Taguatinga Norte.  Ótima casa com 240m², 2 quartos, sala ampla, cozinha, copa, banheiro social e vaga de garagem para até 3 carros! Muito bem ilumina...;QNL 15 Bloco E; Taguatinga Norte;2;3;1;240;754;0;Nenhuma;0;0;0;0;0;0
585000;MASSUH IMÓVEIS VENDE:  GUARÁ II   DOLCE VITTA   REFORMADO   ANDAR ALTO   NASCENTE   EXCELENTE LOCALIZAÇÃO   PEDRO FELINTO   Apartamento:   REFORMADO    SALA AMPLA PARA DOIS AMBENTE...;Guara II; Brasília;2;1;2;55;0;450;Nenhuma;0;0;0;0;0;0
850041;ARNIQUEIRAS: Style House 4 qt/St, pisc/chursq, td.armarios, 270m2, condm.no centro da city  Arniqueira conj. 04 Casa nova e moderna!  Ótima localização, ao lado da Adm de Arniqueir...;SHA Conjunto 4; Setor Habitacional Arniqueira;4;2;3;270;0;150;Nenhuma;0;0;0;0;0;0
399000;VENHA MORAR NO MELHOR PRÉDIO DE TAGUATINGA NORTE  QI 05  RESIDENCIAL COM LAZER COMPLETO PISCINA ADULTO E INFANTIL SALÃO DE FESTAS  ACADEMIA  APARTAMENTO COM 79M² SÃO TRÊS QUARTOS S...;QI 5; Taguatinga Norte;3;1;2;79;600;550;Nenhuma;0;1;0;0;1;0
9999;* Localizadas próximo ao Shopping Outlet Premium.   * Região de Alexânia GO   * Apenas 4 km da BR 060  * Vendidas financiadas direto pela construtora em até 240 meses.  * Entregue...;Avenida Central Área de Serviço Público; Núcleo Bandeirante;1;0;1;20000;0;0;Nenhuma;0;0;0;0;0;0
650000;Remax Capital Apresenta:  Chácara 37, Colônia Agrícola Samambaia, com ótima localização a duas ruas da EPTG e Buffalo Bio.  423m2 terreno. 210m2 área construída.  Excelente casa té...;Chácara 37; Setor Habitacional Vicente Pires Trecho 3;4;6;2;210;0;0;Nenhuma;0;0;0;0;0;0
353000;QE 12   Guará    Apartamento em ótima localização, próximo ao comércio local, posto de saúde e ponto d/ônibus   64m2, andar baixo e nascente   Sala ampla para dois ambientes   Vara...;Guara I; Brasília;2;1;1;64;0;500;Nenhuma;0;0;0;1;0;0
170000;Casa para venda, 225 Samambaia Norte! 2 quartos sendo uma suíte, 1 banheiro social, vaga para 3 carros, forro cartonado gesso, lote de esquina. Quitada, não possui escritura, possu...;QR 225 Conjunto 1; Samambaia Norte;2;3;1;120;0;0;Nenhuma;1;0;0;0;0;0
360000;Residencial Fenix  QS 5 ao lado de Aguas Claras OPORTUNIDADE   2 qtos 62m 1 suíte 2 vagas soltas. REFORMADO  Porcelanato e armários  Desocupado, quitado chave na mão  Aceita financ...;Areal; Brasília;2;2;2;62;0;550;Nenhuma;1;0;0;0;0;0
100000;Excelente Oportunidade! RB Empreendimentos Imobiliários Vende/Aluga:  Sala com divisórias, banheiro, piso em cerâmica, acesso com elevadores, andar alto. ACEITA FINANCIMENTO! Local...;SCS Quadra 4; Asa Sul;1;0;1;30;120;320;Nenhuma;0;0;0;0;0;0
1300000;Excelente Loja:   01 Loja grande, Lote 340 m² Area Construida 134,28 m² tem 34,00m² por 10m²  E uma residência que foi transformada em loja comercial  Otima localização:próximo de...;QND 1; Taguatinga Norte;1;0;1;134;0;0;Nenhuma;0;0;0;0;0;0
1890000;Estrutura para 02 andares com entrada independente, base reforçada em tubulões de 6 metros e pé direito de 5 metros onde atualmente funciona uma fábrica de portas.  O terreno foi t...;Chácara 148; Setor Habitacional Vicente Pires Trecho 3;1;0;1;470;0;0;Nenhuma;0;0;0;1;0;0
170000;Casa no Arapoanga de 200m²   Próximo do Posto de Saúde e Mercado Bonitão   R$170 MIL   2 Quartos/ 1 Suíte  Sala  Cozinha  Banheiro Social  Garagem  Área de Serviço  Corredor nas La...;Quadra 12 Conjunto H; Arapoanga;2;0;1;200;0;0;Nenhuma;1;0;0;0;0;0
1800000;PLANTÃO DE VENDA!! GIL 61.99394.6704. Escritório Águas Claras: (61) 3526.1006. Escritório guara: (61) 3526.2026. Fale direto comigo!  Apartamento vazado 150m², perpendicular, 4 qua...;SQS 311 Bloco H; Asa Sul;4;1;5;150;0;1300;Nenhuma;0;0;0;0;0;0
195000;EXCLUSIVIDADE   Fabrício de Paula   CRECI.27122 Oportunidade | Vendo casa estilosa e toda reformada em ótima localização. São: 03 quartos e 01 suíte, 02 banheiros, 02 vagas, Terren...;Quadra QC 4 Conjunto 10; Riacho Fundo II;3;2;2;112;243;0;Nenhuma;1;0;0;0;0;0
345468;Encontrar o imóvel ideal, ficou mais fácil com a parceria L4S e RE/MAX Veritas! Projetado sobre o conceito moderno, o local é ideal para investir sua clinica de medio e grande port...;Asa Norte; Brasília;1;0;1;32;0;380;Destaque;0;0;0;0;0;0
299000;"QS 05 Praça 310B    2 Quartos sendo 1 Suíte;   Cozinha;   Sala;   Banheiro Social. 1º andar nascente  Aceita financiamento!!  Os 2 quartos deste apartamento são bastante confortáve...";QS 5; Areal;2;1;1;72;0;0;Nenhuma;1;0;0;0;0;0
250000;Casa na Expansão do Setor O na QNO 19.  Vendo Excelente casa em QNO 19 Ceilândia Norte são 1 casa de dois quartos ,sala , cozinha e banheiro,mais uma kit com 01 quarto cozinha amer...;QNO 19 Conjunto I; Ceilandia Norte;2;2;2;144;0;0;Nenhuma;0;0;0;0;0;0
599000;Condomínio QUINTAS DO SOL  Quadra 5  Jardim Botânico.  Casa composta por:   Sala ampla   02 quartos   Banheiro social   Laje   Varanda   Cozinha   Área de serviço   Piso na cerâmic...;Setor Habitacional Jardim Botânico; Brasília;2;5;1;90;0;160;Nenhuma;0;0;1;0;0;0
1700000;Imóvel para investidor, com alta liquidez de aluguel sendo um prédio construído em 2 terrenos escriturados com:   1 Loja alugada em torno de 80 metros quadrados rendendo aluguel de...;Quadra 2; Varjão;1;0;1;600;0;0;Nenhuma;0;0;0;1;0;0
1700000;JULIO ROCHA IMOBILIÁRIA VENDE!  CASA ALTO PADRÃO NO CONDOMINIO ESTÂNCIA QUINTAS DA ALVORADA! Condomínio em Processo De Regularização, Segurança 24h, Guarita, Infraestrutura Em Anda...;Setor Habitacional Jardim Botânico; Brasília;5;4;6;459;0;0;Nenhuma;0;0;0;0;0;0
165000;Vendo um lote com 2 casas no Arapoangas composta por:  1º Casa:  2 Quartos sendo 1 com ar condicionado  Sala Cozinha Banheiro Área de serviço Área com garagem para 2 carros Portão...;Arapoanga; Brasília;3;0;1;200;0;0;Nenhuma;0;0;0;0;0;0
509900;MOBILIADO + VISTA LIVRE + LOCALIZAÇÃO TOP! ED ACONTECE CENTER, CLNW 10/11, NOROESTE  More com conforto, segurança e em localização privilegiada!   Lindo apartamento composto por sa...;Setor Noroeste; Brasília;1;1;1;33;0;0;Nenhuma;0;0;0;0;0;0
180000;Brazil Imobiliária Vende Casa na QC 1 da Santa Maria DF   CASA NA LAJE. Casa com 3 quartos, sendo 1 suíte, sala, cozinha, banheiro social, área de serviço.  📍 Localização: QC 1 Co...;QC 1 Conjunto P; Santa Maria;3;1;1;130;1;0;Nenhuma;1;0;0;0;0;0
